Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ambika,2021-06-11 16:45:31,00:49:11,,Start-Up: Season 1: Burn Rate (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,01:13:21,01:13:21,IN (India)
Ambika,2021-06-11 15:48:08,00:00:02,,Start-Up: Season 1: Burn Rate (Episode 7),,Chrome PC (Cadmium),00:00:02,Not latest view,IN (India)
Ambika,2021-06-11 14:53:23,00:50:31,,Start-Up: Season 1: Key Man (Episode 6),,Chrome PC (Cadmium),01:16:55,01:16:55,IN (India)
Ambika,2021-06-11 13:48:56,00:03:42,Autoplayed: user action: User_Interaction; ,Start-Up: Season 1: Key Man (Episode 6),,Chrome PC (Cadmium),00:06:45,Not latest view,IN (India)
Ambika,2021-06-11 13:36:24,00:12:22,,Start-Up: Season 1: Hackathon (Episode 5),,Chrome PC (Cadmium),01:16:03,01:16:03,IN (India)
Ambika,2021-06-11 10:57:10,00:43:18,,Start-Up: Season 1: Hackathon (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,01:01:01,Not latest view,IN (India)
Ambika,2021-06-11 09:20:52,00:57:22,,Start-Up: Season 1: Sandbox (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,01:16:08,01:16:08,IN (India)
Ambika,2021-06-11 08:20:10,00:55:58,,Start-Up: Season 1: Angel (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,01:17:24,01:17:24,IN (India)
Ambika,2021-06-11 07:09:26,00:59:36,,"Start-Up: Season 1: FAMILY, FRIENDS, FOOLS (Episode 2)",,Netflix Chrome MAC (Cadmium) HTML 5,01:19:38,01:19:38,IN (India)
Ambika,2021-06-11 06:52:02,00:14:44,,Start-Up: Season 1: START-UP (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,01:21:27,01:21:27,IN (India)
Ambika,2021-06-10 17:18:14,00:32:19,,Start-Up: Season 1: START-UP (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:59:03,Not latest view,IN (India)
Ambika,2021-06-10 17:17:43,00:00:17,,StartUp: Season 1: Seed Money (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:36:20,00:36:20,IN (India)
Ambika,2021-06-10 17:17:37,00:00:04,Autoplayed: user action: None; ,StartUp: Season 1_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Ambika,2021-06-10 16:09:38,00:09:48,,13 Going on 30,,Netflix Chrome MAC (Cadmium) HTML 5,01:33:27,01:33:27,IN (India)
Ambika,2021-06-10 15:12:11,00:09:01,,13 Going on 30,,Netflix Chrome MAC (Cadmium) HTML 5,01:08:02,Not latest view,IN (India)
Ambika,2021-06-10 14:19:20,00:10:35,,13 Going on 30,,Netflix Chrome MAC (Cadmium) HTML 5,00:51:24,Not latest view,IN (India)
Ambika,2021-06-10 08:33:47,00:33:12,,13 Going on 30,,Chrome PC (Cadmium),00:38:14,Not latest view,IN (India)
Ambika,2021-06-10 08:31:10,00:00:07,Autoplayed: user action: None; ,13 Going on 30_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,IN (India)
Ambika,2021-06-10 08:27:46,00:00:11,Autoplayed: user action: None; ,Unbelievable: Limited Series (Trailer),TRAILER,Chrome PC (Cadmium),00:00:11,00:00:11,IN (India)
Ambika,2021-06-09 05:51:42,00:00:48,,Summertime: Season 2: Episode 2,,Netflix Chrome MAC (Cadmium) HTML 5,00:01:05,00:01:05,IN (India)
Ambika,2021-06-09 05:18:20,00:30:05,,Summertime: Season 2: Episode 1,,Netflix Chrome MAC (Cadmium) HTML 5,00:40:26,00:40:26,IN (India)
Ambika,2021-06-09 04:58:31,00:19:37,,Summertime: Season 1: Another Winter (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:51:33,00:51:33,IN (India)
Ambika,2021-06-08 10:18:39,00:09:49,,Summertime: Season 1: Another Winter (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:25:58,Not latest view,IN (India)
Ambika,2021-06-08 09:58:32,00:19:42,,Summertime: Season 1: Don't You Cry (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:31:11,00:31:11,IN (India)
Ambika,2021-06-08 09:33:10,00:22:12,,Summertime: Season 1: Those Who Remain (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:45:28,00:45:28,IN (India)
Ambika,2021-06-08 08:13:21,00:03:12,,Summertime: Season 1: Those Who Remain (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:05:28,Not latest view,IN (India)
Ambika,2021-06-08 07:52:38,00:19:57,,Summertime: Season 1: Without You (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:15,00:41:15,IN (India)
Ambika,2021-06-08 07:34:51,00:16:03,,Summertime: Season 1: A Glimpse of Peace (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:36:42,00:36:42,IN (India)
Ambika,2021-06-08 07:09:59,00:22:42,,Summertime: Season 1: A Moment at Night (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:32:51,00:32:51,IN (India)
Ambika,2021-06-08 05:41:41,00:00:28,Autoplayed: user action: None; ,The Intern_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:28,00:00:28,IN (India)
Ambika,2021-06-08 05:21:10,00:20:04,,Summertime: Season 1: Just You & I (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:02,00:41:02,IN (India)
Ambika,2021-06-08 04:48:29,00:29:01,,Summertime: Season 1: I Hate Summer (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:35:52,00:35:52,IN (India)
Ambika,2021-06-08 04:43:58,00:00:04,Autoplayed: user action: None; ,Notting Hill_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Ambika,2021-06-08 04:43:30,00:00:13,Autoplayed: user action: None; ,13 Going on 30_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:13,Not latest view,IN (India)
Ambika,2021-06-08 04:43:17,00:00:09,Autoplayed: user action: None; ,Lucifer: Season 3_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,IN (India)
Ambika,2021-06-08 04:42:40,00:00:16,Autoplayed: user action: None; ,Season 2 Trailer: Summertime,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:16,00:00:16,IN (India)
Ambika,2021-06-08 04:42:30,00:00:07,Autoplayed: user action: None; ,Jane the Virgin: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Ambika,2021-06-08 04:41:56,00:00:02,Autoplayed: user action: User_Interaction; ,Jane The Virgin: Season 1: Chapter One: Pilot (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:36,00:01:36,IN (India)
Ambika,2021-06-07 11:58:35,00:00:07,Autoplayed: user action: None; ,Season 1 Teaser: Sweet Tooth,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Ambika,2021-06-06 15:20:55,00:00:05,Autoplayed: user action: None; ,The Intern_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:05,Not latest view,IN (India)
Ambika,2021-06-06 11:39:06,00:21:35,,Never Have I Ever: Season 1: ... said I'm sorry (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,00:21:35,00:21:35,IN (India)
Ambika,2021-06-06 11:14:05,00:23:12,,Never Have I Ever: Season 1: ... had to be on my best behavior (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,00:23:12,00:23:12,IN (India)
Ambika,2021-06-06 11:10:18,00:03:10,,Notting Hill,,Netflix Windows App - Cadmium Windows Mobile,00:34:36,Not latest view,IN (India)
Ambika,2021-06-06 11:06:47,00:00:06,Autoplayed: user action: None; ,The Intern_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:06,Not latest view,IN (India)
Ambika,2021-06-06 10:34:08,00:25:49,,Never Have I Ever: Season 1: ... pissed off everyone I know (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,00:27:31,00:27:31,IN (India)
Ambika,2021-06-06 10:29:37,00:03:02,,Never Have I Ever: Season 1: ... pissed off everyone I know (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,00:03:02,Not latest view,IN (India)
Ambika,2021-06-06 09:53:29,00:23:29,,"Never Have I Ever: Season 1: ... been a big, fat liar (Episode 7)",,Netflix Windows App - Cadmium Windows Mobile,00:23:29,00:23:29,IN (India)
Ambika,2021-06-06 09:28:57,00:21:47,,Never Have I Ever: Season 1: ... been the loneliest boy in the world (Episode 6),,Netflix Windows App - Cadmium Windows Mobile,00:22:03,00:22:03,IN (India)
Ambika,2021-06-06 09:20:01,00:08:10,,Never Have I Ever: Season 1: ... started a nuclear war (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,00:28:03,00:28:03,IN (India)
Ambika,2021-06-06 09:12:04,00:07:38,,13 Going on 30,,Netflix Windows App - Cadmium Windows Mobile,00:08:54,Not latest view,IN (India)
Ambika,2021-06-06 09:05:56,00:01:36,,Isi & Ossi,,Netflix Windows App - Cadmium Windows Mobile,00:01:36,00:01:36,IN (India)
Ambika,2021-06-06 09:04:31,00:00:43,,13 Going on 30,,Netflix Windows App - Cadmium Windows Mobile,00:01:20,Not latest view,IN (India)
Ambika,2021-06-06 09:02:38,00:00:31,Autoplayed: user action: None; ,The Intern_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:31,Not latest view,IN (India)
Ambika,2021-06-05 10:01:58,00:29:18,,The Mitchells vs. The Machines,,Netflix Windows App - Cadmium Windows Mobile,00:29:04,00:29:04,IN (India)
Ambika,2021-06-05 09:59:47,00:00:18,Autoplayed: user action: None; ,Teaser: Carnaval,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,00:00:18,00:00:18,IN (India)
Ambika,2021-06-05 09:25:52,00:19:55,,Never Have I Ever: Season 1: ... started a nuclear war (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,00:19:55,Not latest view,IN (India)
Ambika,2021-06-05 08:57:18,00:20:49,,Never Have I Ever: Season 1: ... felt super Indian (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,00:20:49,00:20:49,IN (India)
Ambika,2021-06-05 08:40:41,00:13:14,,Never Have I Ever: Season 1: ... gotten drunk with the popular kids (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,00:28:34,00:28:34,IN (India)
Ambika,2021-06-05 08:39:47,00:00:37,,Notting Hill,,Netflix Windows App - Cadmium Windows Mobile,00:31:27,Not latest view,IN (India)
Ambika,2021-06-05 07:41:29,00:14:35,,Notting Hill,,Netflix Windows App - Cadmium Windows Mobile,00:30:52,Not latest view,IN (India)
Ambika,2021-06-05 07:38:42,00:00:04,Autoplayed: user action: None; ,Teaser: Carnaval,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,00:00:04,Not latest view,IN (India)
Ambika,2021-06-05 06:36:24,00:00:19,,Never Have I Ever: Season 1: ... gotten drunk with the popular kids (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,00:15:08,Not latest view,IN (India)
Ambika,2021-06-05 06:13:27,00:15:58,,Notting Hill,,Netflix Windows App - Cadmium Windows Mobile,00:16:59,Not latest view,IN (India)
Ambika,2021-06-04 16:52:07,00:14:50,,Never Have I Ever: Season 1: ... gotten drunk with the popular kids (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,00:14:50,Not latest view,IN (India)
Ambika,2021-06-04 16:51:22,00:00:18,,Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,00:00:18,00:00:18,IN (India)
Ambika,2021-06-04 16:40:33,00:00:24,Autoplayed: user action: None; ,Season 2 Trailer: Feel Good,TRAILER,Netflix Windows App - Cadmium Windows Mobile,00:00:24,00:00:24,IN (India)
Ambika,2021-06-04 16:40:24,00:00:02,,Never Have I Ever: Season 1: ... gotten drunk with the popular kids (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,00:00:02,Not latest view,IN (India)
Ambika,2021-06-04 15:48:52,00:27:47,,Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,00:28:24,Not latest view,IN (India)
Ambika,2021-06-04 14:20:09,00:06:40,,Project Mc²: Part 6: Stone Acres Is the Place to Be (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,00:06:40,00:06:40,IN (India)
Ambika,2021-06-04 14:17:52,00:00:04,Autoplayed: user action: None; ,Season 2 Trailer: Feel Good,TRAILER,Netflix Windows App - Cadmium Windows Mobile,00:00:04,Not latest view,IN (India)
Ambika,2021-06-04 13:38:49,00:38:03,,Enola Holmes,,Netflix Windows App - Cadmium Windows Mobile,00:38:19,00:38:19,IN (India)
Ambika,2021-06-04 13:18:33,00:15:28,,Never Have I Ever: Season 1: Pilot (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,00:26:00,00:26:00,IN (India)
Ambika,2021-06-04 13:05:56,00:09:58,,Never Have I Ever: Season 1: Pilot (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,00:09:58,Not latest view,IN (India)
Ambika,2021-06-04 12:22:11,00:00:55,,Lucifer: Season 5: Really Sad Devil Guy (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,00:02:35,00:02:35,IN (India)
Ambika,2021-06-04 12:20:42,00:00:11,Autoplayed: user action: None; ,Kim's Convenience: Season 1_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:11,00:00:11,IN (India)
Ambika,2021-06-04 12:19:33,00:00:07,Autoplayed: user action: None; ,Kim's Convenience: Season 1_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:07,Not latest view,IN (India)
Ambika,2021-06-04 08:36:11,00:11:56,,"Hello, My Twenties!: Season 1: Episode 1",,Netflix Chrome MAC (Cadmium) HTML 5,00:28:36,00:28:36,IN (India)
Ambika,2021-06-02 05:31:50,00:45:51,,Blue Miracle,,Netflix Chrome MAC (Cadmium) HTML 5,01:30:40,01:30:40,IN (India)
Ambika,2021-06-02 05:31:34,00:00:14,Autoplayed: user action: None; ,Trailer: Blue Miracle,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:14,00:00:14,IN (India)
Ambika,2021-06-02 05:10:27,00:17:07,,StartUp: Season 1: Seed Money (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:36:03,Not latest view,IN (India)
Ambika,2021-06-02 05:10:19,00:00:06,Autoplayed: user action: None; ,StartUp: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,IN (India)
Ambika,2021-06-01 08:28:12,00:00:09,Autoplayed: user action: None; ,Grand Designs: Season 10_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,IN (India)
Ambika,2021-06-01 07:38:46,00:43:49,,Abstract: The Art of Design: Season 2: Olafur Eliasson: The Design of Art (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:49,00:43:49,IN (India)
Ambika,2021-06-01 07:36:03,00:00:14,Autoplayed: user action: None; ,Abstract: The Art of Design: Season 2 (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:14,00:00:14,IN (India)
Ambika,2021-06-01 07:35:47,00:00:14,Autoplayed: user action: None; ,Restaurants on the Edge: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:14,00:00:14,IN (India)
Ambika,2021-06-01 05:26:26,00:10:53,,"Master of None: Season 2: New York, I Love You (Episode 6)",,Netflix Chrome MAC (Cadmium) HTML 5,00:21:03,00:21:03,IN (India)
Ambika,2021-05-31 18:15:54,00:00:29,,"Master of None: Season 2: New York, I Love You (Episode 6)",,Netflix Chrome MAC (Cadmium) HTML 5,00:04:23,Not latest view,IN (India)
Ambika,2021-05-31 18:07:41,00:07:24,,Master of None: Season 2: The Dinner Party (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:33:58,00:33:58,IN (India)
Ambika,2021-05-31 18:07:31,00:00:08,,"Master of None: Season 2: New York, I Love You (Episode 6)",,Netflix Chrome MAC (Cadmium) HTML 5,00:00:13,Not latest view,IN (India)
Ambika,2021-05-31 18:04:37,00:02:52,,Master of None: Season 2: The Dinner Party (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:35:44,Not latest view,IN (India)
Ambika,2021-05-31 17:53:38,00:10:52,,Master of None: Season 2: First Date (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:23:58,00:23:58,IN (India)
Ambika,2021-05-31 17:25:26,00:17:09,,Master of None: Season 2: Religion (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:19:17,00:19:17,IN (India)
Ambika,2021-05-31 16:55:35,00:18:35,,Master of None: Season 2: Le Nozze (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:26:14,00:26:14,IN (India)
Ambika,2021-05-31 16:36:45,00:16:34,,Master of None: Season 2: The Thief (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:27:54,00:27:54,IN (India)
Ambika,2021-05-31 09:52:55,00:15:43,,Love: Season 1: Tested (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:34:27,00:34:27,IN (India)
Ambika,2021-05-31 09:30:50,00:17:56,,Love: Season 1: One Long Day (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:30:36,00:30:36,IN (India)
Ambika,2021-05-31 08:56:27,00:28:23,,Love: Season 1: It Begins (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:39:01,00:39:01,IN (India)
Ambika,2021-05-31 08:55:55,00:00:30,Autoplayed: user action: None; ,Love (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:30,00:00:30,IN (India)
Ambika,2021-05-30 18:31:58,00:17:59,,Flaked: Season 1: Rose (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:25:31,00:25:31,IN (India)
Ambika,2021-05-30 18:05:57,00:23:47,,Flaked: Season 1: Horizon (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:29:11,00:29:11,IN (India)
Ambika,2021-05-30 17:27:29,00:29:51,,Flaked: Season 1: Westminster (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:31:41,00:31:41,IN (India)
Ambika,2021-05-30 17:26:24,00:01:03,Autoplayed: user action: None; ,Flaked (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:01:03,00:01:03,IN (India)
Ambika,2021-05-30 08:53:32,00:06:28,,Master of None: Season 2: The Thief (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:08:20,Not latest view,IN (India)
Ambika,2021-05-30 08:26:05,00:24:48,,Master of None: Season 1: Finale (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:27:24,00:27:24,IN (India)
Ambika,2021-05-28 10:08:09,00:00:11,,Master of None: Season 1: Finale (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:16,Not latest view,IN (India)
Ambika,2021-05-28 09:45:12,00:22:13,,Master of None: Season 1: Mornings (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:25:10,00:25:10,IN (India)
Ambika,2021-05-28 09:20:50,00:24:18,Autoplayed: user action: None; ,Master of None: Season 1: Old People (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:25:54,00:25:54,IN (India)
Ambika,2021-05-28 09:17:52,00:02:55,,Master of None: Season 1: Ladies and Gentlemen (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:24:34,00:24:34,IN (India)
Ambika,2021-05-28 07:48:25,00:18:14,,Master of None: Season 1: Ladies and Gentlemen (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:39,Not latest view,IN (India)
Ambika,2021-05-28 07:48:07,00:00:02,Autoplayed: user action: User_Interaction; ,Jane The Virgin: Season 1: Chapter One: Pilot (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:34,Not latest view,IN (India)
Ambika,2021-05-27 17:13:45,00:00:01,Autoplayed: user action: User_Interaction; ,Jane The Virgin: Season 1: Chapter One: Pilot (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:32,Not latest view,IN (India)
Ambika,2021-05-27 09:59:43,01:29:19,,Admission,,Netflix Chrome MAC (Cadmium) HTML 5,01:40:39,01:40:39,IN (India)
Ambika,2021-05-27 09:59:15,00:00:27,Autoplayed: user action: None; ,Admission_hook_05_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:27,00:00:27,IN (India)
Ambika,2021-05-27 09:59:05,00:00:07,Autoplayed: user action: None; ,Notting Hill_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,Not latest view,IN (India)
Ambika,2021-05-27 09:58:15,00:00:22,Autoplayed: user action: None; ,#realityhigh (Trailer 2),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:23,00:00:23,IN (India)
Ambika,2021-05-27 09:57:57,00:00:17,Autoplayed: user action: None; ,Clip 3: The Prom,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:17,00:00:17,IN (India)
Ambika,2021-05-27 09:57:37,00:00:08,Autoplayed: user action: None; ,Season 5 Trailer: Greenleaf S5,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,IN (India)
Ambika,2021-05-27 09:57:28,00:00:04,Autoplayed: user action: None; ,Elite: Season 1 (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,IN (India)
Ambika,2021-05-27 09:56:49,00:00:12,Autoplayed: user action: None; ,Kim's Convenience: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,Not latest view,IN (India)
Ambika,2021-05-27 09:53:54,00:01:29,,Master of None: Season 1: Ladies and Gentlemen (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:39,Not latest view,IN (India)
Ambika,2021-05-27 09:33:29,00:20:15,,Master of None: Season 1: Nashville (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:25:58,00:25:58,IN (India)
Ambika,2021-05-27 09:20:10,00:12:14,,Master of None: Season 1: The Other Man (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:28:54,00:28:54,IN (India)
Ambika,2021-05-27 09:14:22,00:00:04,Autoplayed: user action: None; ,Trailer: A Whisker Away,TRAILER,Chrome PC (Cadmium),00:00:04,00:00:04,IN (India)
Ambika,2021-05-26 11:53:17,00:06:20,,Master of None: Season 1: The Other Man (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:15:10,Not latest view,IN (India)
Ambika,2021-05-26 11:30:44,00:22:25,,Master of None: Season 1: Indians on TV (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:28:33,00:28:33,IN (India)
Ambika,2021-05-26 11:10:10,00:17:27,,Master of None: Season 1: Hot Ticket (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:31:45,00:31:45,IN (India)
Ambika,2021-05-26 10:23:32,00:24:58,,Master of None: Season 1: Parents (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:26:41,00:26:41,IN (India)
Ambika,2021-05-26 09:58:03,00:21:54,,Master of None: Season 1: Plan B (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:27:01,00:27:01,IN (India)
Ambika,2021-05-26 09:57:50,00:00:01,Autoplayed: user action: User_Interaction; ,It's Okay to Not Be Okay: Season 1: The Boy Who Fed On Nightmares (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:01,00:00:01,IN (India)
Ambika,2021-05-26 09:52:32,00:05:11,,Virgin River: Season 1: Carry On (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:05:21,00:05:21,IN (India)
Ambika,2021-05-26 09:52:14,00:00:16,Autoplayed: user action: None; ,VIRGINRIVER_S2_CLIP_CLIFFHANGER,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:16,00:00:16,IN (India)
Ambika,2021-05-26 09:51:55,00:00:07,Autoplayed: user action: None; ,Soundtrack: Season 1_CLIP_MUSIC_NON3,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Ambika,2021-05-26 09:51:29,00:00:19,Autoplayed: user action: None; ,Season 3 Trailer: Master of None,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:19,00:00:19,IN (India)
Ambika,2021-05-22 16:46:33,00:33:47,,Vincenzo: Season 1: Episode 1,,Netflix Chrome MAC (Cadmium) HTML 5,01:22:52,01:22:52,IN (India)
Ambika,2021-05-20 16:58:09,00:00:05,Autoplayed: user action: None; ,Vincenzo: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,IN (India)
Ambika,2021-05-20 16:56:24,00:00:07,Autoplayed: user action: None; ,Clip 1: Sardar Ka Grandson,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Ambika,2021-05-20 16:56:05,00:00:02,Autoplayed: user action: User_Interaction; ,Jane The Virgin: Season 1: Chapter One: Pilot (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:31,Not latest view,IN (India)
Ambika,2021-05-17 05:14:15,00:15:20,,Endless Love,,Netflix Chrome MAC (Cadmium) HTML 5,01:02:27,01:02:27,IN (India)
